feature_id,hits,n_prompts,mean_activation,context_specificity,token_specificity,context_specificity_vs_baseline,token_specificity_vs_baseline,firing_rate,composite_score
4179,12,11,2.034992585579554,0.1331409552419774,0.9200510768998822,0.06674495724087876,0.5889151482690533,0.001334668001334668,0.32387180076484884
5050,62,47,2.892863861976131,0.13045533324458247,0.27051387900592955,0.06405933524348384,-0.06062204962489931,0.006895784673562452,0.12759669393291403
1989,141,89,4.535698828122294,0.12931551163160887,0.6064344799883006,0.06291951363051024,0.2752985513574717,0.01568234901568235,0.6333761199588402
1981,88,62,3.5539115409959448,0.12928050849032083,0.4037759465414664,0.0628845104892222,0.07264001791063757,0.009787565343120898,0.40078744777509445
923,47,22,2.232304755677568,0.12848099257763795,0.33771456642516745,0.06208499457653932,0.006578637794338593,0.005227449671894116,0.2025596543572456
3293,300,127,4.193596128622691,0.12581409525874057,0.28756112241997117,0.05941809725764194,-0.043574806210857686,0.0333667000333667,0.24989072530514092
799,92,44,3.648268655590389,0.124588494673527,0.6268111810140267,0.05819249667242837,0.2956752523831978,0.010232454676899122,0.4913823100525311
4233,131,69,3.1644493951142287,0.12136944440693825,0.29417523572752025,0.05497344640583962,-0.03696069290330861,0.014570125681236792,0.2004440530104366
1047,131,85,3.7628778828919387,0.12080482610902263,0.603801433850513,0.054408828107923995,0.27266550521968413,0.014570125681236792,0.4821272263623113
4080,214,111,3.6593796443716387,0.12069330436178809,0.40844559346702813,0.054297306360689454,0.07730966483619928,0.02380157935713491,0.38837955164034044
919,571,164,2.6879955601149392,0.12006297055163782,0.36619453297294857,0.05366697255053919,0.035058604342119715,0.06350795239684129,0.2564175416775223
1244,11,11,2.8139296011491255,0.12001725098505098,0.24957191329300232,0.053621252983952344,-0.08156401533782653,0.0012234456678901122,0.04330339621127296
6770,25,15,3.368761377334595,0.11983136405679382,0.35721958248969155,0.05343536605569518,0.026083653858862688,0.0027805583361138917,0.31160554111003724
879,30,13,3.1385992725690204,0.11826418830845571,0.4822968322298239,0.05186819030735708,0.15116090359899503,0.00333667000333667,0.36010603137708724
4503,22,18,3.2090804035013374,0.11732451372736492,0.5245221479265614,0.05092851572626629,0.19338621929573252,0.0024468913357802245,0.37793472869465633
991,53,21,2.594943840548677,0.11687342581347916,0.44781840339072804,0.05047742781238053,0.11668247475989918,0.005894783672561451,0.2824780961451799
3233,21,19,2.807466160683405,0.11592668912363144,0.41641106423713703,0.049530691122532805,0.08527513560630817,0.002335669002335669,0.28921484206780107
2511,64,35,2.8075561244040728,0.1155908387670767,0.3414512912863853,0.04919484076597806,0.010315362655556437,0.007118229340451563,0.23658934034722823
6802,31,22,4.503401971632434,0.11445898831673372,0.7735156981810302,0.04806299031563509,0.4423797695502013,0.003447892336781226,0.5674521138359189
4877,104,43,2.9559029019795933,0.11339453378406807,0.5808337737235731,0.04699853578296943,0.24969784509274429,0.01156712267823379,0.34473514006146816
792,348,194,3.193815097384069,0.1129742455497948,0.30060407704024344,0.04657824754869616,-0.030531851590585413,0.038705372038705374,0.20555326237428087
201,95,52,2.7260455495432803,0.1128653665922843,0.3431918789792801,0.04646936859118567,0.01205595034845125,0.010566121677232788,0.22621498342724908
2856,150,54,2.9142669677734374,0.1113591501941454,0.33595913530322724,0.044963152193046765,0.0048232066723983835,0.01668335001668335,0.2316361892486068
1007,837,182,3.3076165018685546,0.1102337728576398,0.3642365619811233,0.04383777485654117,0.03310063335029445,0.09309309309309309,0.28774523150703424
4688,73,52,3.027412133674099,0.10944813806913996,0.3287459724559871,0.043052140068041325,-0.0023899561748417786,0.008119230341452564,0.2289217689739359
2146,213,63,2.6841457326647262,0.1091482730666871,0.358092068002418,0.04275227506558847,0.02695613937158914,0.023690357023690357,0.2268934771586091
6083,29,20,2.750748605563723,0.10837329636546263,0.47842588661853414,0.041977298364363994,0.14728995798770528,0.003225447669892114,0.2819914288994362
4332,90,64,2.8552790032492745,0.1074020378104377,0.30233811307946423,0.04100603980933906,-0.028797815551364625,0.01001001001001001,0.17936750878115718
2869,49,30,3.4700616646786124,0.10660835004078921,0.6571378378223055,0.04021235203969058,0.32600190919147665,0.005449894338783227,0.38290668718932663
2804,254,194,3.210568809133815,0.10623620807205254,0.5416942033010413,0.03984021007095391,0.2105582746702125,0.02825047269491714,0.33548127221029617
2208,121,73,4.042597656407632,0.10600079075068455,0.6924950292484768,0.03960479274958592,0.361359100617648,0.013457902346791235,0.4469859245427029
3549,40,17,2.932736802101135,0.10430665985330964,0.33761063908705147,0.03791066185221101,0.00647471045622261,0.0044488933377822264,0.21996686331257698
1536,36,33,3.2856980562210083,0.10370662633443364,0.44608216124268985,0.03731062833333501,0.11494623261186099,0.004004004004004004,0.30779643669378237
1550,47,34,2.913681854592993,0.10340487635738348,0.3935828683121341,0.037008878356284844,0.06244693968130527,0.005227449671894116,0.25215466300822836
3661,1913,486,2.7484940096027115,0.10218395168878107,0.3520713068761755,0.035787953687682436,0.020935378245346636,0.21276832387943498,0.21222159284159067
2756,39,22,4.0067894367071295,0.10018349968970224,0.5266612356925721,0.0337875016886036,0.1955253070617432,0.004337671004337671,0.3817979525176376
6362,414,240,3.8604181135334255,0.09885598834115754,0.4205702174793239,0.032459990340058906,0.08943428884849502,0.04604604604604605,0.3289192885487511
1103,87,51,2.776142808212631,0.09883870584775746,0.3657940284476815,0.03244270784665883,0.03465809981685264,0.009676343009676344,0.214175368217981
2693,173,137,2.3829542177950027,0.0988367274703523,0.5113659119852568,0.032440729469253665,0.18022998335442797,0.01924146368590813,0.22055246736969017
5689,175,158,3.3259671102251325,0.09882899986975044,0.40648383886440165,0.032433001868651806,0.07534791023357279,0.01946390835279724,0.2776710942990906
348,18,17,2.274742749002245,0.0987947464269228,1.0,0.03239874842582417,0.6688640713691711,0.002002002002002002,0.23644765308728932
988,279,85,2.4872576724671123,0.09869223923277427,0.3671524034851657,0.03229624123167564,0.036016474854336844,0.031031031031031032,0.19217900447094194
1016,245,127,3.7100249976527935,0.09852008976025269,0.49065696350035964,0.03212409175915405,0.1595210348695308,0.027249471693916137,0.3369998602732938
6260,262,151,3.047554411960922,0.09820665256160642,0.28916363280343915,0.03181065456050779,-0.041972295827389705,0.029140251362473585,0.15673900300240087
1355,183,87,2.9719284610018706,0.09820480201648839,0.4330277397210163,0.031808804015389755,0.10189181109018747,0.020353687020353686,0.2548476170235717
1356,130,62,2.910626703959245,0.09811679332706195,0.39698057758637223,0.03172079532596332,0.06584464895554337,0.014458903347792236,0.23706122173529828
2322,22,15,2.8454659906300632,0.09793733767493897,0.44646665130886704,0.03154133967384033,0.11533072267803818,0.0024468913357802245,0.24667373038793858
3881,87,55,2.7050333776693236,0.09707392586068103,0.4120977211950131,0.0306779278595824,0.08096179256418423,0.009676343009676344,0.22227757558506522
5698,811,261,2.502204494617429,0.09693654040891746,0.3546153109858588,0.030540542407818824,0.023479382355029943,0.09020131242353464,0.18301419129493984
1136,72,44,2.971112800969018,0.09626393843171208,0.5486893734302811,0.029867940430613443,0.21755344479945227,0.008008008008008008,0.2697902965254407
553,115,88,2.9303350842517357,0.09589930256431385,0.3442023550539316,0.02950330456321522,0.01306642642310274,0.012790568346123903,0.20494440157093177
680,304,146,2.57358368486166,0.09507493495656869,0.33042297634904716,0.028678936955470052,-0.000712952281781698,0.03381158936714492,0.16937320046009918
359,196,159,3.0390479236232992,0.0945878845710627,0.35289110966744625,0.02819188656996406,0.021755181036617388,0.02179957735513291,0.21459012031543065
949,36,26,2.8731828298833637,0.09437995441595992,0.3530112317360029,0.02798395641486129,0.02187530310517405,0.004004004004004004,0.20238616778504406
3688,31,23,2.596569653480284,0.09417193410447493,0.35390389065561917,0.027775936103376295,0.02276796202479031,0.003447892336781226,0.18284681432509495
1860,105,88,3.2420764843622845,0.09396047431970096,0.3689607941401592,0.02756447631860233,0.03782486550933034,0.011678345011678345,0.23630229407816639
804,84,72,2.742045435167494,0.09384499315393142,0.3671283976171049,0.027448995152832792,0.03599246898627606,0.009342676009342675,0.19871172486605454
344,40,34,2.766608661413193,0.09381235745466729,0.7280628051948987,0.027416359453568656,0.3969268765640699,0.0044488933377822264,0.25458596596026534
